Medidor,fecha_inicio,demanda_uni
086FBV,2020-01-07,0
086FBV,2020-01-08,0
086FBV,2020-01-09,0
086FBV,2020-01-10,0
086FBV,2020-01-11,0
086FBV,2020-01-12,0
086FBV,2021-01-01,0.26
086FBV,2021-01-02,0.129
086FBV,2021-01-03,0.322
086FBV,2021-01-04,1.42
086FBV,2021-01-05,1.814
086FBV,2021-01-06,1.537
086FBV,2021-01-07,1.549
086FBV,2021-01-08,1.4
086FBV,2021-01-09,1.387
086FBV,2021-01-10,1.323
086FBV,2021-01-11,1.133
086FBV,2021-01-12,1.095
086FBV,2022-01-01,1.094
086FBV,2022-01-02,1.068
086FBV,2022-01-03,1.229
086FBV,2022-01-04,1.427
086FBV,2022-01-05,1.498
086FBV,2022-01-06,1.466
086FBV,2022-01-07,1.561
086FBV,2022-01-08,1.509
086FBV,25/06/2020,0
091PFY,2018-01-02,1.176
091PFY,2018-01-03,1.963
091PFY,2018-01-04,0.912
091PFY,2018-01-05,0.797
091PFY,2018-01-06,0.673
091PFY,2018-01-07,0.619
091PFY,2018-01-08,0.545
091PFY,2018-01-09,0.605
091PFY,2018-01-10,0.652
091PFY,2018-01-11,0.835
091PFY,2018-01-12,1.007
091PFY,2018-03-01,2.566
091PFY,2019-01-01,0.65
091PFY,2019-01-02,0.617
091PFY,2019-01-03,0.509
091PFY,2019-01-04,0.554
091PFY,2019-01-05,0.55
091PFY,2019-01-06,0.559
091PFY,2019-01-07,0.787
091PFY,2019-01-08,0.647
091PFY,2019-01-09,0.74
091PFY,2019-01-10,0.707
091PFY,2019-01-11,0.469
091PFY,2019-01-12,0.354
091PFY,2020-01-01,0.347
091PFY,2020-01-02,0.412
091PFY,2020-01-03,0.45
091PFY,2020-01-04,2.026
091PFY,2020-01-05,1.326
091PFY,2020-01-06,0.653
091PFY,2020-01-07,0.946
091PFY,2020-01-08,0.495
091PFY,2020-01-09,0.457
091PFY,2020-01-10,0.876
091PFY,2020-01-11,0.943
091PFY,2020-01-12,0.472
091PFY,2021-01-01,1.278
091PFY,2021-01-02,0.839
091PFY,2021-01-03,0.777
091PFY,2021-01-04,0.716
091PFY,2021-01-05,0.605
091PFY,2021-01-06,1.353
091PFY,2021-01-07,1.196
091PFY,2021-01-08,0.351
091PFY,2021-01-09,0.552
091PFY,2021-01-10,0.701
091PFY,2021-01-11,0.546
091PFY,2021-01-12,0.728
091PFY,2022-01-01,0.695
091PFY,2022-01-02,0.653
091PFY,2022-01-03,0.54
091PFY,2022-01-04,0.527
091PFY,2022-01-05,0.629
091PFY,2022-01-06,0.582
091PFY,2022-01-07,0.472
091PFY,2022-01-08,0.553
091PFY,29/12/2017,0
137Y8W,26/01/2017,1.142
137Y8W,26/01/2018,0.176
137Y8W,26/01/2019,0.415
137Y8W,26/01/2020,1.182
137Y8W,26/01/2021,1.024
137Y8W,26/01/2022,0.995
137Y8W,26/02/2017,0.336
137Y8W,26/02/2018,0.308
137Y8W,26/02/2019,1.325
137Y8W,26/02/2020,1.165
137Y8W,26/02/2021,1.02
137Y8W,26/02/2022,1.027
137Y8W,26/03/2017,0.977
137Y8W,26/03/2018,0.307
137Y8W,26/03/2019,0.136
137Y8W,26/03/2020,1.101
137Y8W,26/03/2021,1.271
137Y8W,26/03/2022,0.992
137Y8W,26/04/2017,0.192
137Y8W,26/04/2018,0.251
137Y8W,26/04/2019,0.16
137Y8W,26/04/2020,0.153
137Y8W,26/04/2021,1.198
137Y8W,26/04/2022,0.779
137Y8W,26/05/2017,0.196
137Y8W,26/05/2018,0.242
137Y8W,26/05/2019,0.661
137Y8W,26/05/2020,0.109
137Y8W,26/05/2021,1.22
137Y8W,26/05/2022,1.24
137Y8W,26/06/2017,0
137Y8W,26/06/2018,0.166
137Y8W,26/06/2019,0.712
137Y8W,26/06/2020,0.466
137Y8W,26/06/2021,1.338
137Y8W,26/06/2022,1.701
137Y8W,26/07/2017,0.895
137Y8W,26/07/2018,0.244
137Y8W,26/07/2019,0.973
137Y8W,26/07/2020,1.16
137Y8W,26/07/2021,1.758
137Y8W,26/07/2022,1.124
137Y8W,26/08/2017,0
137Y8W,26/08/2018,0.307
137Y8W,26/08/2019,1.106
137Y8W,26/08/2020,1.082
137Y8W,26/08/2021,1.179
137Y8W,26/09/2017,0
137Y8W,26/09/2018,0.287
137Y8W,26/09/2019,0.994
137Y8W,26/09/2020,1.236
137Y8W,26/09/2021,1.172
137Y8W,26/10/2016,1.19
137Y8W,26/10/2017,0
137Y8W,26/10/2018,0.241
137Y8W,26/10/2019,1.27
137Y8W,26/10/2020,1.295
137Y8W,26/10/2021,1.065
137Y8W,26/11/2016,0.746
137Y8W,26/11/2017,0
137Y8W,26/11/2018,0.222
137Y8W,26/11/2019,1.332
137Y8W,26/11/2020,1.356
137Y8W,26/11/2021,0.904
137Y8W,26/12/2016,1.251
137Y8W,26/12/2017,0.126
137Y8W,26/12/2018,1.131
137Y8W,26/12/2019,1.203
137Y8W,26/12/2020,1.322
137Y8W,26/12/2021,1.06
170E6H,2017-01-10,0.379
170E6H,2017-01-11,0.35
170E6H,2017-01-12,1.081
170E6H,2018-01-01,1.104
170E6H,2018-01-02,1.096
170E6H,2018-01-03,1.196
170E6H,2018-01-04,1.117
170E6H,2018-01-05,0.979
170E6H,2018-01-06,0.324
170E6H,2018-01-07,0.3
170E6H,2018-01-08,0.272
170E6H,2018-01-09,0.33
170E6H,2018-01-10,1.158
170E6H,2018-01-11,1.351
170E6H,2018-01-12,1.361
170E6H,2019-01-01,1.176
170E6H,2019-01-02,1.188
170E6H,2019-01-03,1.163
170E6H,2019-01-04,1.054
170E6H,2019-01-05,1.105
170E6H,2019-01-06,0.612
170E6H,2019-01-07,0.529
170E6H,2019-01-08,0.57
170E6H,2019-01-09,0.542
170E6H,2019-01-10,1.337
170E6H,2019-01-11,2.257
170E6H,2019-01-12,2.272
170E6H,2020-01-01,2.263
170E6H,2020-01-02,2.119
170E6H,2020-01-03,1.997
170E6H,2020-01-04,2.15
170E6H,2020-01-05,1.5
170E6H,2020-01-06,0.591
170E6H,2020-01-07,0.552
170E6H,2020-01-08,0.544
170E6H,2020-01-09,0.592
170E6H,2020-01-10,1.155
170E6H,2020-01-11,1.196
170E6H,2020-01-12,1.68
170E6H,2021-01-01,1.731
170E6H,2021-01-02,1.583
170E6H,2021-01-03,1.14
170E6H,2021-01-04,1.191
170E6H,2021-01-05,0.575
170E6H,2021-01-06,0.533
170E6H,2021-01-07,0.554
170E6H,2021-01-08,0.577
170E6H,2021-01-09,0.595
170E6H,2021-01-10,1.169
170E6H,2021-01-11,1.112
170E6H,2021-01-12,1.111
170E6H,2022-01-01,1.199
170E6H,2022-01-02,1.456
170E6H,2022-01-03,1.252
170E6H,2022-01-04,1.257
170E6H,2022-01-05,1.059
170E6H,2022-01-06,0.551
170E6H,2022-01-07,1.652
170E6H,2022-01-08,2.159
170E6H,19/09/2017,0.012
203VE8,2016-01-12,0.783
203VE8,2017-01-01,1.509
203VE8,2017-01-02,0.628
203VE8,2017-01-03,1.716
203VE8,2017-01-04,1.703
203VE8,2017-01-05,1.837
203VE8,2017-01-06,2.042
203VE8,2017-01-07,1.994
203VE8,2017-01-08,1.944
203VE8,2017-01-09,1.789
203VE8,2017-01-10,0.904
203VE8,2017-01-11,0.911
203VE8,2017-01-12,1.265
203VE8,2018-01-01,2.008
203VE8,2018-01-02,1.149
203VE8,2018-01-03,1.718
203VE8,2018-01-04,1.549
203VE8,2018-01-05,1.962
203VE8,2018-01-06,2.346
203VE8,2018-01-07,2.226
203VE8,2018-01-08,2.155
203VE8,2018-01-09,2.116
203VE8,2018-01-10,1.283
203VE8,2018-01-11,1.238
203VE8,2018-01-12,1.184
203VE8,2019-01-01,1.11
203VE8,2019-01-02,1.054
203VE8,2019-01-03,1.325
203VE8,2019-01-04,1.373
203VE8,2019-01-05,2.164
203VE8,2019-01-06,2.598
203VE8,2019-01-07,2.231
203VE8,2019-01-08,2.505
203VE8,2019-01-09,2.28
203VE8,2019-01-10,2.1
203VE8,2019-01-11,1.297
203VE8,2019-01-12,1.5
203VE8,2020-01-01,0.684
203VE8,2020-01-02,0.869
203VE8,2020-01-03,1.219
203VE8,2020-01-04,1.43
203VE8,2020-01-05,1.866
