fecha_inicio,medidor,demanda_uni
2020-01-07,086FBV,0
2020-01-08,086FBV,0
2020-01-09,086FBV,0
2020-01-10,086FBV,0
2020-01-11,086FBV,0
2020-01-12,086FBV,0
2021-01-01,086FBV,0.26
2021-01-02,086FBV,0.129
2021-01-03,086FBV,0.322
2021-01-04,086FBV,1.42
2021-01-05,086FBV,1.814
2021-01-06,086FBV,1.537
2021-01-07,086FBV,1.549
2021-01-08,086FBV,1.4
2021-01-09,086FBV,1.387
2021-01-10,086FBV,1.323
2021-01-11,086FBV,1.133
2021-01-12,086FBV,1.095
2022-01-01,086FBV,1.094
2022-01-02,086FBV,1.068
2022-01-03,086FBV,1.229
2022-01-04,086FBV,1.427
2022-01-05,086FBV,1.498
2022-01-06,086FBV,1.466
2022-01-07,086FBV,1.561
2022-01-08,086FBV,1.509
25/06/2020,086FBV,0
2018-01-02,091PFY,1.176
2018-01-03,091PFY,1.963
2018-01-04,091PFY,0.912
2018-01-05,091PFY,0.797
2018-01-06,091PFY,0.673
2018-01-07,091PFY,0.619
2018-01-08,091PFY,0.545
2018-01-09,091PFY,0.605
2018-01-10,091PFY,0.652
2018-01-11,091PFY,0.835
2018-01-12,091PFY,1.007
2018-03-01,091PFY,2.566
2019-01-01,091PFY,0.65
2019-01-02,091PFY,0.617
2019-01-03,091PFY,0.509
2019-01-04,091PFY,0.554
2019-01-05,091PFY,0.55
2019-01-06,091PFY,0.559
2019-01-07,091PFY,0.787
2019-01-08,091PFY,0.647
2019-01-09,091PFY,0.74
2019-01-10,091PFY,0.707
2019-01-11,091PFY,0.469
2019-01-12,091PFY,0.354
2020-01-01,091PFY,0.347
2020-01-02,091PFY,0.412
2020-01-03,091PFY,0.45
2020-01-04,091PFY,2.026
2020-01-05,091PFY,1.326
2020-01-06,091PFY,0.653
2020-01-07,091PFY,0.946
2020-01-08,091PFY,0.495
2020-01-09,091PFY,0.457
2020-01-10,091PFY,0.876
2020-01-11,091PFY,0.943
2020-01-12,091PFY,0.472
2021-01-01,091PFY,1.278
2021-01-02,091PFY,0.839
2021-01-03,091PFY,0.777
2021-01-04,091PFY,0.716
2021-01-05,091PFY,0.605
2021-01-06,091PFY,1.353
2021-01-07,091PFY,1.196
2021-01-08,091PFY,0.351
2021-01-09,091PFY,0.552
2021-01-10,091PFY,0.701
2021-01-11,091PFY,0.546
2021-01-12,091PFY,0.728
2022-01-01,091PFY,0.695
2022-01-02,091PFY,0.653
2022-01-03,091PFY,0.54
2022-01-04,091PFY,0.527
2022-01-05,091PFY,0.629
2022-01-06,091PFY,0.582
2022-01-07,091PFY,0.472
2022-01-08,091PFY,0.553
29/12/2017,091PFY,0
26/01/2017,137Y8W,1.142
26/01/2018,137Y8W,0.176
26/01/2019,137Y8W,0.415
26/01/2020,137Y8W,1.182
26/01/2021,137Y8W,1.024
26/01/2022,137Y8W,0.995
26/02/2017,137Y8W,0.336
26/02/2018,137Y8W,0.308
26/02/2019,137Y8W,1.325
26/02/2020,137Y8W,1.165
26/02/2021,137Y8W,1.02
26/02/2022,137Y8W,1.027
26/03/2017,137Y8W,0.977
26/03/2018,137Y8W,0.307
26/03/2019,137Y8W,0.136
26/03/2020,137Y8W,1.101
26/03/2021,137Y8W,1.271
26/03/2022,137Y8W,0.992
26/04/2017,137Y8W,0.192
26/04/2018,137Y8W,0.251
26/04/2019,137Y8W,0.16
26/04/2020,137Y8W,0.153
26/04/2021,137Y8W,1.198
26/04/2022,137Y8W,0.779
26/05/2017,137Y8W,0.196
26/05/2018,137Y8W,0.242
26/05/2019,137Y8W,0.661
26/05/2020,137Y8W,0.109
26/05/2021,137Y8W,1.22
26/05/2022,137Y8W,1.24
26/06/2017,137Y8W,0
26/06/2018,137Y8W,0.166
26/06/2019,137Y8W,0.712
26/06/2020,137Y8W,0.466
26/06/2021,137Y8W,1.338
26/06/2022,137Y8W,1.701
26/07/2017,137Y8W,0.895
26/07/2018,137Y8W,0.244
26/07/2019,137Y8W,0.973
26/07/2020,137Y8W,1.16
26/07/2021,137Y8W,1.758
